"receipt_id","supplier_id","warehouse_name","inbnd_type","inbnd_duration_min","started_at","sku_cnt","category_level4_cnt","start_hour","start_week","start_weekday"
"01003847629",e9912507-fb18-11ee-b973-08c0eb32008b,РЦ СБЛ СМР,Хранение от поставщика,0.5953477500000001,2025-08-31 06:59:43.768,1400.0,1,"6","35","0"
"01003853329",e0126b4f-d4f1-11eb-85ac-1c34dae33151,РЦ СБЛ НН,Кросс-док,1.78849775,2025-08-23 07:18:36.306,456.0,2,"7","34","6"
"01003868842",cfad39c9-bd3e-11eb-85ab-1c34dae33151,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,6.362703116666666,2025-08-28 10:40:24.735,5088.0,3,"10","35","4"
"01003879077","6876d873-0939-11ef-8861-08c0eb32014b",РЦ СБЛ КНД-3,Хранение от поставщика,5.38837265,2025-09-09 07:22:10.463,600.0,1,"7","37","2"
"01003880537","3cd9aeaa-76f8-11ee-8860-08c0eb32014b",РЦ СБЛ ВРЖ Нечаевка,Кросс-док,2.07223355,2025-09-07 07:49:01.068,3120.0,1,"7","36","0"
"01003882238",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ НСК,Хранение от поставщика,18.96934248333333,2025-09-15 09:08:03.173,8976.0,1,"9","38","1"
"01003883049",ae51b1d8-31f5-11ee-885f-08c0eb32014b,РЦ СБЛ ВРЖ Нечаевка,Кросс-док,1.4449946333333334,2025-09-14 08:21:32.514,3120.0,1,"8","37","0"
"01003884650","141f3c79-76a9-11eb-85a3-1c34dae33151",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,1.4380987166666666,2025-09-13 11:26:49.422,468.0,1,"11","37","6"
"01003885139",f9b41e55-548c-11ea-879c-0050560306e1,РЦ СБЛ СМР,Хранение от поставщика,16.082606966666667,2025-09-09 08:56:44.879,1596.0,1,"8","37","2"
"01003885630",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ ВРЖ Нечаевка,Хранение от поставщика,12.63322605,2025-09-07 11:36:36.908,5112.0,3,"11","36","0"
"01003904677","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ ВРЖ Нечаевка,Хранение от поставщика,10.584233583333335,2025-09-17 12:30:57.435,2688.0,2,"12","38","3"
"01003907865",dd0df3c5-e7cb-11ec-ae71-08c0eb320147,РЦ СБЛ ВРЖ Нечаевка,Хранение от поставщика,25.042883016666668,2025-09-15 09:25:06.180,9072.0,2,"9","38","1"
"01003682859",e9912507-fb18-11ee-b973-08c0eb32008b,РЦ СБЛ ВЛГ-2 WMS,Кросс-док,1.7230625666666666,2025-06-07 07:32:24.630,1400.0,1,"7","23","6"
