"receipt_id","supplier_id","warehouse_name","inbnd_type","inbnd_duration_min","started_at","sku_cnt","sku_volume","category_level4_cnt","start_hour","start_week","start_weekday"
"01003713551","0bd913d9-4b82-11ec-85ad-1c34dae33151",РЦ СБЛ КСК,Хранение от поставщика,30.2132059666667,2025-06-11 02:50:21.046,3228.0,7938.44025,3,"2","24","3"
"01003785852",dd0df3c5-e7cb-11ec-ae71-08c0eb320147,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,22.7922760666667,2025-07-18 07:55:09.504,5688.0,23543.91,3,"7","29","5"
"01003886725","88441339-b3d5-11ef-b973-08c0eb32008b",РЦ СБЛ КНД-3,Хранение от поставщика,19.2321716166667,2025-09-10 08:24:33.346,4872.0,24964.99152,2,"8","37","3"
"01003897285",c1ae6f0a-ee93-11ea-8599-1c34dae33151,РЦ СБЛ УФА-2,Хранение от поставщика,2.3539321,2025-09-17 12:13:09.804,2130.0,3538.0125,2,"12","38","3"
"01003528538",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СДГ КСК,Кросс-док,18.15729535,2025-03-20 04:01:12.873,3480.0,1667.7432,1,"4","12","4"
"01003648665","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,7.68886241666667,2025-05-10 06:47:50.277,660.0,1162.002024,1,"6","19","6"
"01003662279","32b517cc-3d9f-11ee-ae78-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,5.10254938333333,2025-05-15 06:10:54.545,13608.0,9377.59032,1,"6","20","4"
"01003785644",c766844d-edec-11ef-aa3a-be3af2b6059f,РЦ СБЛ ВЛГ-2 WMS,Кросс-док,1.32572196666667,2025-07-28 10:53:49.775,2592.0,1399.68,1,"10","31","1"
"01003801568",f9b41e55-548c-11ea-879c-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,2.58866236666667,2025-07-28 08:01:49.113,1824.0,984.96,1,"8","31","1"
"01003817648",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ НСК,Хранение от поставщика,21.6214597333333,2025-08-05 03:28:30.921,3960.0,29002.91328,1,"3","32","2"
"01003820049","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,6.27497615,2025-08-07 12:53:39.722,4632.0,12224.407125,3,"12","32","4"
"01003854118",cfad39c9-bd3e-11eb-85ab-1c34dae33151,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,5.73504998333333,2025-08-21 14:43:24.364,7248.0,29922.532848,4,"14","34","4"
"01003861408","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ УФА-2,Хранение от поставщика,6.55754495,2025-08-29 05:56:42.371,1800.0,2737.073736,2,"5","35","5"
"01003890719","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ УФА-2,Хранение от поставщика,5.58052048333333,2025-09-12 08:08:23.024,816.0,1444.9944612,1,"8","37","5"
"01003786573","8d590545-fff9-11eb-a0ee-ec0d9a21b021",РЦ СБЛ РНД-2,Хранение от поставщика,54.6970543833333,2025-07-17 08:30:03.946,3834.0,17774.838,6,"8","29","4"
"01003839388",e0126b4f-d4f1-11eb-85ac-1c34dae33151,РЦ СБЛ НН,Кросс-док,1.766561,2025-08-16 06:21:01.195,312.0,492.192,2,"6","33","6"
"01003848238",a6ef32dc-76e3-11e9-80c5-0cc47a817925,РЦ СБЛ УФА-2,Хранение от поставщика,61.6582572333333,2025-08-23 09:20:12.347,5974.0,32627.956664,6,"9","34","6"
"01003851546","141f3c79-76a9-11eb-85a3-1c34dae33151",РЦ СБЛ НН,Хранение от поставщика,6.38018996666667,2025-08-27 09:34:12.386,6048.0,3265.92,1,"9","35","3"
"01003880568","3cd9aeaa-76f8-11ee-8860-08c0eb32014b",РЦ СБЛ КНД-3,Кросс-док,1.38806441666667,2025-09-09 11:41:11.670,2808.0,2016.846,1,"11","37","2"
"01003898173","875bbabf-ba1c-11eb-85ab-1c34dae33151",РЦ СБЛ ТМН,Хранение от поставщика,8.42165478333333,2025-09-12 06:47:54.979,1734.0,3549.5445,2,"6","37","5"
"01003660670",a478fb2c-733c-11ea-bca4-0050560306e1,РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,4.08125715,2025-05-19 09:10:23.150,1356.0,546.9312,1,"9","21","1"
"01003696033",ac70539a-7305-11ee-8860-08c0eb32014b,РЦ СБЛ КСК,Хранение от поставщика,10.0789595333333,2025-06-10 02:33:39.083,480.0,4137.2371968,1,"2","24","2"
"01003700173",c7da00ce-3602-11ee-885f-08c0eb32014b,РЦ СБЛ ВЛГ-2 WMS,Хранение от РЦ,2.38076726666667,2025-06-01 07:54:35.155,1890.0,3593.57796,1,"7","22","0"
"01003700803","6d6798d6-3f3a-11e9-80c5-0cc47a817925",РЦ СБЛ ВЛГ-2 WMS,Хранение от поставщика,19.30060515,2025-06-10 10:47:24.437,12696.0,13734.25620768,4,"10","24","2"
"01003703420",ded9af41-bbef-11ec-8857-08c0eb32014b,РЦ СБЛ ТМН,Хранение от поставщика,21.59657495,2025-06-10 10:15:48.964,2016.0,678.9,1,"10","24","2"
"01003735637","5c37154a-c40f-11ed-ae77-08c0eb320147",РЦ СБЛ ВЛГ-2 WMS,Кросс-док,4.61135371666667,2025-06-23 08:46:19.866,1452.0,1417.15926,1,"8","26","1"
